region;år;Hovedalternativet (MMMM)
3101 Halden;2024;31935
3101 Halden;2025;32005
3101 Halden;2026;32080
3101 Halden;2027;32150
3101 Halden;2028;32246
3101 Halden;2029;32367
3101 Halden;2030;32512
3101 Halden;2031;32654
3101 Halden;2032;32792
3101 Halden;2033;32928
3101 Halden;2034;33062
3101 Halden;2035;33194
3101 Halden;2036;33325
3101 Halden;2037;33451
3101 Halden;2038;33573
3101 Halden;2039;33691
3101 Halden;2040;33805
3101 Halden;2041;33915
3101 Halden;2042;34021
3101 Halden;2043;34123
3101 Halden;2044;34219
3101 Halden;2045;34311
3101 Halden;2046;34399
3101 Halden;2047;34483
3101 Halden;2048;34562
3101 Halden;2049;34637
3101 Halden;2050;34707
3103 Moss;2024;52051
3103 Moss;2025;52692
3103 Moss;2026;53215
3103 Moss;2027;53625
3103 Moss;2028;54011
3103 Moss;2029;54379
3103 Moss;2030;54728
3103 Moss;2031;55079
3103 Moss;2032;55431
3103 Moss;2033;55782
3103 Moss;2034;56130
3103 Moss;2035;56477
3103 Moss;2036;56823
3103 Moss;2037;57159
3103 Moss;2038;57488
3103 Moss;2039;57809
3103 Moss;2040;58122
3103 Moss;2041;58426
3103 Moss;2042;58723
3103 Moss;2043;59013
3103 Moss;2044;59294
3103 Moss;2045;59564
3103 Moss;2046;59825
3103 Moss;2047;60073
3103 Moss;2048;60309
3103 Moss;2049;60533
3103 Moss;2050;60744
3105 Sarpsborg;2024;59771
3105 Sarpsborg;2025;60324
3105 Sarpsborg;2026;60790
3105 Sarpsborg;2027;61161
3105 Sarpsborg;2028;61504
3105 Sarpsborg;2029;61821
3105 Sarpsborg;2030;62113
3105 Sarpsborg;2031;62406
3105 Sarpsborg;2032;62698
3105 Sarpsborg;2033;62990
3105 Sarpsborg;2034;63281
3105 Sarpsborg;2035;63571
3105 Sarpsborg;2036;63862
3105 Sarpsborg;2037;64145
3105 Sarpsborg;2038;64420
3105 Sarpsborg;2039;64687
3105 Sarpsborg;2040;64945
3105 Sarpsborg;2041;65195
3105 Sarpsborg;2042;65435
3105 Sarpsborg;2043;65666
3105 Sarpsborg;2044;65888
3105 Sarpsborg;2045;66098
3105 Sarpsborg;2046;66297
3105 Sarpsborg;2047;66485
3105 Sarpsborg;2048;66660
3105 Sarpsborg;2049;66823
3105 Sarpsborg;2050;66973
3107 Fredrikstad;2024;85230
3107 Fredrikstad;2025;85754
3107 Fredrikstad;2026;86205
3107 Fredrikstad;2027;86582
3107 Fredrikstad;2028;86990
3107 Fredrikstad;2029;87431
3107 Fredrikstad;2030;87902
3107 Fredrikstad;2031;88368
3107 Fredrikstad;2032;88828
3107 Fredrikstad;2033;89282
3107 Fredrikstad;2034;89730
3107 Fredrikstad;2035;90172
3107 Fredrikstad;2036;90609
3107 Fredrikstad;2037;91030
3107 Fredrikstad;2038;91438
3107 Fredrikstad;2039;91833
3107 Fredrikstad;2040;92216
3107 Fredrikstad;2041;92588
3107 Fredrikstad;2042;92948
3107 Fredrikstad;2043;93296
3107 Fredrikstad;2044;93632
3107 Fredrikstad;2045;93955
3107 Fredrikstad;2046;94263
3107 Fredrikstad;2047;94553
3107 Fredrikstad;2048;94827
3107 Fredrikstad;2049;95082
3107 Fredrikstad;2050;95318
3110 Hvaler;2024;4787
3110 Hvaler;2025;4864
3110 Hvaler;2026;4935
3110 Hvaler;2027;5002
3110 Hvaler;2028;5068
3110 Hvaler;2029;5134
3110 Hvaler;2030;5200
3110 Hvaler;2031;5264
3110 Hvaler;2032;5326
3110 Hvaler;2033;5386
3110 Hvaler;2034;5443
3110 Hvaler;2035;5499
3110 Hvaler;2036;5554
3110 Hvaler;2037;5605
3110 Hvaler;2038;5655
3110 Hvaler;2039;5701
3110 Hvaler;2040;5745
3110 Hvaler;2041;5787
3110 Hvaler;2042;5828
3110 Hvaler;2043;5866
3110 Hvaler;2044;5904
3110 Hvaler;2045;5939
3110 Hvaler;2046;5974
3110 Hvaler;2047;6007
3110 Hvaler;2048;6040
3110 Hvaler;2049;6071
3110 Hvaler;2050;6101
3112 Råde;2024;7883
3112 Råde;2025;7954
3112 Råde;2026;8020
3112 Råde;2027;8079
3112 Råde;2028;8146
3112 Råde;2029;8222
3112 Råde;2030;8308
3112 Råde;2031;8394
3112 Råde;2032;8479
3112 Råde;2033;8562
3112 Råde;2034;8645
3112 Råde;2035;8726
3112 Råde;2036;8805
3112 Råde;2037;8880
3112 Råde;2038;8952
3112 Råde;2039;9020
3112 Råde;2040;9086
3112 Råde;2041;9148
3112 Råde;2042;9208
3112 Råde;2043;9265
3112 Råde;2044;9319
3112 Råde;2045;9371
3112 Råde;2046;9421
3112 Råde;2047;9468
3112 Råde;2048;9513
3112 Råde;2049;9554
3112 Råde;2050;9594
3114 Våler (Østfold);2024;6145
3114 Våler (Østfold);2025;6307
3114 Våler (Østfold);2026;6449
3114 Våler (Østfold);2027;6573
3114 Våler (Østfold);2028;6690
3114 Våler (Østfold);2029;6799
3114 Våler (Østfold);2030;6903
3114 Våler (Østfold);2031;7003
3114 Våler (Østfold);2032;7099
3114 Våler (Østfold);2033;7193
3114 Våler (Østfold);2034;7284
3114 Våler (Østfold);2035;7372
